pieza_origen,pieza_destino,conexion_pieza1,conexion_pieza2

pieza_001,pieza_002,1,1
pieza_001,pieza_003,2,1
pieza_001,pieza_004,3,1
pieza_003,pieza_005,2,2
pieza_003,pieza_006,3,2
pieza_004,pieza_005,2,1
pieza_006,pieza_007,1,1

pieza_008,pieza_009,1,1
pieza_008,pieza_012,2,2
pieza_008,pieza_011,3,1
pieza_009,pieza_012,2,1
pieza_010,pieza_011,1,4
pieza_011,pieza_012,2,3
pieza_011,pieza_013,3,3
pieza_012,pieza_013,4,2
pieza_012,pieza_014,5,1
pieza_013,pieza_014,1,2
